step,benchmark,correct,bin_lo,bin_hi,count,frac
20,amc24,0,0.30000000000000004,0.35000000000000003,0,0.0
20,amc24,0,0.35000000000000003,0.4,0,0.0
20,amc24,0,0.4,0.45,0,0.0
20,amc24,0,0.45,0.5,0,0.0
20,amc24,0,0.5,0.55,0,0.0
20,amc24,0,0.55,0.6000000000000001,1,0.02040816326530612
20,amc24,0,0.6000000000000001,0.65,0,0.0
20,amc24,0,0.65,0.7000000000000001,0,0.0
20,amc24,0,0.7000000000000001,0.75,0,0.0
20,amc24,0,0.75,0.8,0,0.0
20,amc24,0,0.8,0.8500000000000001,0,0.0
20,amc24,0,0.8500000000000001,0.9,0,0.0
20,amc24,0,0.9,0.9500000000000001,17,0.3469387755102041
20,amc24,0,0.9500000000000001,1.0,19,0.3877551020408163
20,amc24,1,0.0,0.05,0,0.0
20,amc24,1,0.05,0.1,0,0.0
20,amc24,1,0.1,0.15000000000000002,0,0.0
20,amc24,1,0.15000000000000002,0.2,0,0.0
20,amc24,1,0.2,0.25,0,0.0
20,amc24,1,0.25,0.30000000000000004,0,0.0
20,amc24,1,0.30000000000000004,0.35000000000000003,0,0.0
20,amc24,1,0.35000000000000003,0.4,0,0.0
20,amc24,1,0.4,0.45,0,0.0
20,amc24,1,0.45,0.5,0,0.0
20,amc24,1,0.5,0.55,0,0.0
20,amc24,1,0.55,0.6000000000000001,0,0.0
20,amc24,1,0.6000000000000001,0.65,0,0.0
20,amc24,1,0.65,0.7000000000000001,0,0.0
20,amc24,1,0.7000000000000001,0.75,0,0.0
20,amc24,1,0.75,0.8,0,0.0
20,amc24,1,0.8,0.8500000000000001,0,0.0
20,amc24,1,0.8500000000000001,0.9,0,0.0
20,amc24,1,0.9,0.9500000000000001,6,0.14634146341463414
20,amc24,1,0.9500000000000001,1.0,35,0.8536585365853658
20,math500,0,0.0,0.05,8,0.1951219512195122
20,math500,0,0.05,0.1,0,0.0
20,math500,0,0.1,0.15000000000000002,0,0.0
20,math500,0,0.15000000000000002,0.2,0,0.0
20,math500,0,0.2,0.25,0,0.0
20,math500,0,0.25,0.30000000000000004,0,0.0
20,math500,0,0.30000000000000004,0.35000000000000003,0,0.0
20,math500,0,0.35000000000000003,0.4,0,0.0
20,math500,0,0.4,0.45,0,0.0
20,math500,0,0.45,0.5,0,0.0
20,math500,0,0.5,0.55,0,0.0
20,math500,0,0.55,0.6000000000000001,0,0.0
20,math500,0,0.6000000000000001,0.65,0,0.0
20,math500,0,0.65,0.7000000000000001,0,0.0
20,math500,0,0.7000000000000001,0.75,0,0.0
20,math500,0,0.75,0.8,0,0.0
20,math500,0,0.8,0.8500000000000001,0,0.0
20,math500,0,0.8500000000000001,0.9,0,0.0
20,math500,0,0.9,0.9500000000000001,6,0.14634146341463414
20,math500,0,0.9500000000000001,1.0,27,0.6585365853658537
20,math500,1,0.0,0.05,1,0.006289308176100629
20,math500,1,0.05,0.1,0,0.0
20,math500,1,0.1,0.15000000000000002,0,0.0
20,math500,1,0.15000000000000002,0.2,0,0.0
20,math500,1,0.2,0.25,0,0.0
20,math500,1,0.25,0.30000000000000004,0,0.0
20,math500,1,0.30000000000000004,0.35000000000000003,0,0.0
20,math500,1,0.35000000000000003,0.4,0,0.0
